age,A2,C1,D2,D4,D8,D10,D15,job,F15,M8,E17,G1,J2,J4,J9,E1,E2,J17,M6,life_satisfaction
50,Poor,Yes,Always,Often,Always,Always,Always,Doesn't hold an ordinary or supported job,4,Very bad,Friends/colleagues,No,Never,Once a month,Never,168,88,10,13500,Low
57,Very poor,Yes,Sometimes,Sometimes,Often,Often,Refuse to answer,Doesn't hold an ordinary or supported job,0,Very bad,I dont share this with anyone,No,Less frequently,Several times a month,Never,181,102,0,4000,Low
51,Well,Yes,Rarely,Sometimes,Sometimes,Often,Often,Holds an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Once a month,Once a month,Less frequently,165,70,1,3500,High
43,Well,No,Rarely,Often,Sometimes,Always,Often,Holds an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Less frequently,Once a month,180,74,3,1500,High
55,Well,No,Sometimes,Sometimes,Often,Rarely,Always,Doesn't hold an ordinary or supported job,4,Good,Others,No,Once a month,Daily,Less frequently,180,100,2,2000,High
34,Very well,No,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Holds an ordinary or supported job,8,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Once a month,Less frequently,177,100,0,99999,High
36,Well,No,Rarely,Sometimes,Sometimes,Sometimes,Often,Holds an ordinary or supported job,9,Very good,Friends/colleagues,No,Less frequently,Once a month,Less frequently,175,60,2,500,High
32,Well,Yes,Sometimes,Always,Sometimes,Sometimes,Often,Holds an ordinary or supported job,8,Bad,Partner/spouse/boy-/girlfriend,Yes,Once a month,Less frequently,Several times a month,176,64,5,500,High
54,Well,No,Never,Always,Rarely,Always,Always,Holds an ordinary or supported job,8,Very good,I dont share this with anyone,Yes,Several times a month,Several times a week,Less frequently,167,82,3,8000,High
51,Well,No,Rarely,Often,Sometimes,Sometimes,Often,,8,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Once a month,Less frequently,179,69,2,100,High
51,Well,No,Rarely,Sometimes,Sometimes,Always,Often,Holds an ordinary or supported job,8,Bad,Friends/colleagues,Yes,Less frequently,Once a week,Once a week,190,83,2,250,High
27,Well,No,Rarely,Often,Rarely,Often,Sometimes,Doesn't hold an ordinary or supported job,6,Average,Partner/spouse/boy-/girlfriend,Yes,Once a week,Once a week,Several times a month,168,47,4,0,High
33,Well,Yes,Never,Often,Rarely,Often,Often,Holds an ordinary or supported job,8,Average,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Less frequently,Less frequently,179,69,2,0,High
51,Very well,No,Never,Always,Sometimes,Rarely,Sometimes,Holds an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Once a week,Less frequently,Less frequently,190,90,0,1500,High
52,Very well,No,Rarely,Always,Rarely,Often,Always,Holds an ordinary or supported job,9,Very good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Once a week,Several times a month,176,71,2,0,High
31,Well,No,Sometimes,Often,Sometimes,Often,Often,Doesn't hold an ordinary or supported job,8,Bad,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Several times a month,Less frequently,189,97,2,1000,High
53,Very well,No,Rarely,Often,Often,Often,Often,Holds an ordinary or supported job,8,Very good,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Refuse to answer,Less frequently,174,95,0,1000,High
32,Very poor,No,Often,Never,Always,Never,Sometimes,,0,Very bad,Siblings,No,Less frequently,Several times a month,Several times a month,170,63,3,150,Low
40,Very well,No,Sometimes,Rarely,Always,Often,Often,Doesn't hold an ordinary or supported job,9,Very bad,Friends/colleagues,No,Once a month,Several times a month,Less frequently,152,48,1,100,Medium
63,Well,No,Rarely,Often,Sometimes,Always,Often,Holds an ordinary or supported job,6,Average,Others,No,Less frequently,Several times a week,Less frequently,175,80,0,0,High
53,Well,No,Rarely,Sometimes,Rarely,Sometimes,Often,Holds an ordinary or supported job,7,Average,Friends/colleagues,Yes,Once a week,Less frequently,Less frequently,170,69,0,2000,High
49,Poor,Yes,Never,Often,Rarely,Always,Always,Holds an ordinary or supported job,4,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a week,Several times a week,Less frequently,173,64,0,200,High
42,Very well,No,Don't know,Often,Rarely,Always,Often,Holds an ordinary or supported job,7,Good,Friends/colleagues,No,Less frequently,Never,Several times a month,162,86,0,3000,High
52,Poor,Yes,Rarely,Often,Sometimes,Always,Often,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Once a month,Less frequently,160,57,1,200,High
59,Average,Yes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Doesn't hold an ordinary or supported job,8,Very good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Less frequently,Less frequently,172,85,2,500,High
42,Well,No,Rarely,Often,Rarely,Often,Often,Holds an ordinary or supported job,9,Good,Friends/colleagues,Yes,Once a month,Once a month,Less frequently,182,90,4,100,High
30,Well,No,Rarely,Often,Sometimes,Sometimes,Often,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Once a month,Once a month,163,75,1,500,High
49,Well,Yes,Never,Sometimes,Sometimes,Often,Often,Doesn't hold an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Once a month,Refuse to answer,Less frequently,184,95,2,150,Medium
35,Very well,No,Never,Always,Rarely,Sometimes,Rarely,Holds an ordinary or supported job,9,Bad,Partner/spouse/boy-/girlfriend,Yes,Once a month,Less frequently,Less frequently,160,65,6,1000,High
51,Well,No,Rarely,Sometimes,Sometimes,Often,Sometimes,Holds an ordinary or supported job,8,Bad,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Once a month,Once a month,190,112,1,100,High
51,Well,No,Refuse to answer,Often,Sometimes,Refuse to answer,Refuse to answer,Holds an ordinary or supported job,9,Very good,Don't know,Yes,Once a week,99,Several times a month,167,66,1,500,Medium
60,Well,No,Never,Often,Rarely,Always,Often,Holds an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Several times a month,Once a month,184,78,3,675,High
29,Well,No,Never,Always,Never,Always,Often,Holds an ordinary or supported job,9,Very good,Partner/spouse/boy-/girlfriend,Yes,Once a week,Once a month,Several times a month,180,72,2,0,High
48,Well,No,Rarely,Often,Sometimes,Always,Always,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Once a week,Once a week,Several times a month,162,62,4,1000,High
54,Average,Yes,Rarely,Often,Often,Often,Sometimes,Holds an ordinary or supported job,9,Good,Friends/colleagues,Yes,Less frequently,Several times a month,Once a month,170,65,4,200,High
50,Well,No,Sometimes,Sometimes,Sometimes,Often,Always,Holds an ordinary or supported job,8,Very good,Partner/spouse/boy-/girlfriend,Yes,Once a week,Several times a month,Less frequently,165,85,4,0,High
58,Average,Yes,Rarely,Often,Rarely,Often,Often,Holds an ordinary or supported job,8,Very good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Never,Less frequently,165,88,0,4000,High
61,Average,Yes,Never,Often,Sometimes,Never,Often,Holds an ordinary or supported job,8,Average,Partner/spouse/boy-/girlfriend,Yes,Once a week,Once a week,Less frequently,167,84,4,4000,High
58,Well,Yes,Rarely,Often,Always,Sometimes,Rarely,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a week,Several times a month,Never,181,93,3,1200,High
54,Well,Yes,Rarely,Often,Sometimes,Often,Often,Holds an ordinary or supported job,9,Good,Friends/colleagues,No,Never,Less frequently,Several times a month,167,59,0,1000,High
53,Well,No,Never,Always,Rarely,Always,Always,Holds an ordinary or supported job,9,Very good,Friends/colleagues,No,Less frequently,Once a week,Once a month,172,69,12,3000,High
42,Well,Yes,Rarely,Rarely,Sometimes,Often,Often,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Less frequently,Less frequently,171,69,1,0,High
45,Average,No,Rarely,Often,Rarely,Often,Sometimes,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Several times a month,Several times a month,162,64,2,2000,High
58,Very well,No,Rarely,Always,Sometimes,Always,Often,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Several times a week,Less frequently,167,87,2,1000,High
61,Very well,No,Rarely,Always,Sometimes,Often,Often,Doesn't hold an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Several times a week,Once a month,189,93,2,1500,High
52,Very well,No,Rarely,Often,Rarely,Often,Often,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Once a month,Once a month,172,62,3,300,High
41,Very well,No,Never,Always,Sometimes,Always,Often,Holds an ordinary or supported job,8,Very good,Partner/spouse/boy-/girlfriend,Yes,Once a week,Once a month,Less frequently,175,73,2,100,High
53,Well,No,Never,Always,Rarely,Always,Often,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Never,Less frequently,170,60,1,99999,High
53,Well,Yes,Never,Sometimes,Rarely,Always,Always,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Several times a month,Several times a month,173,85,2,5000,High
60,Very well,No,Rarely,Often,Often,Often,Often,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Several times a month,Once a month,168,65,2,5000,High
55,Well,No,Rarely,Often,Sometimes,Often,Sometimes,Holds an ordinary or supported job,9,Very good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Several times a month,Less frequently,166,56,3,1000,High
55,Very poor,Yes,Sometimes,Rarely,Always,Never,Always,Doesn't hold an ordinary or supported job,1,Average,Friends/colleagues,No,Less frequently,Never,Never,184,92,2,0,Medium
46,Well,No,Rarely,Often,Rarely,Sometimes,Often,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Once a week,Less frequently,172,68,0,6000,Low
44,Well,No,Never,Often,Rarely,Often,Often,Holds an ordinary or supported job,9,Good,I dont share this with anyone,Yes,Several times a month,Once a month,Once a month,200,89,3,300,High
46,Average,Yes,Rarely,Sometimes,Sometimes,Often,Often,Holds an ordinary or supported job,6,Average,Siblings,No,Once a week,Less frequently,Less frequently,164,53,3,1000,Medium
35,Well,No,Never,Often,Sometimes,Often,Often,Holds an ordinary or supported job,7,Good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Once a week,Less frequently,165,83,1,4000,High
57,Average,Yes,Rarely,Always,Rarely,Sometimes,Always,Doesn't hold an ordinary or supported job,1,Good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Once a month,Once a week,160,60,2,0,Medium
32,Average,No,Sometimes,Sometimes,Sometimes,Often,Never,Doesn't hold an ordinary or supported job,5,Good,Friends/colleagues,No,Less frequently,Once a week,Less frequently,188,104,1,1000,Low
44,Well,No,Rarely,Often,Rarely,Sometimes,Sometimes,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Less frequently,Less frequently,190,120,0,500,High
47,Well,No,Sometimes,Sometimes,Often,Sometimes,Rarely,Doesn't hold an ordinary or supported job,0,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Several times a month,Less frequently,169,117,2,300,High
56,Very well,No,Never,Often,Sometimes,Often,Always,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Once a week,Less frequently,173,62,2,22000,High
61,Average,No,Sometimes,Sometimes,Sometimes,Often,Often,Holds an ordinary or supported job,7,Average,Friends/colleagues,No,Less frequently,Once a month,Several times a month,156,57,3,600,Medium
47,Poor,Yes,Never,Often,Sometimes,Often,Often,Holds an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Several times a month,Less frequently,173,56,0,2000,Medium
37,Very well,No,Sometimes,Often,Sometimes,Often,Often,Doesn't hold an ordinary or supported job,7,Bad,Parents,Yes,Once a week,Several times a month,Less frequently,160,85,3,5000,High
37,Well,No,Never,Often,Rarely,Often,Often,Holds an ordinary or supported job,9,Very good,Partner/spouse/boy-/girlfriend,Yes,Once a week,Once a month,Less frequently,168,56,1,800,High
61,Well,No,Rarely,Always,Rarely,Often,Often,Holds an ordinary or supported job,7,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Once a week,Less frequently,175,72,5,200,High
39,Well,No,Never,Often,Sometimes,Always,Sometimes,Holds an ordinary or supported job,9,Average,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Once a week,Less frequently,180,74,1,1000,High
44,Average,No,Never,Often,Rarely,Often,Often,Holds an ordinary or supported job,8,Bad,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Once a week,Less frequently,183,91,5,0,High
52,Well,No,Rarely,Sometimes,Rarely,Sometimes,Often,Holds an ordinary or supported job,7,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Once a month,Less frequently,174,100,0,2000,High
47,Well,No,Never,Often,Rarely,Always,Always,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a week,Several times a week,Once a month,169,73,3,2000,High
49,Poor,Yes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Doesn't hold an ordinary or supported job,5,Very bad,Parents,Yes,Several times a week,Several times a month,Several times a month,185,107,1,0,High
58,Well,No,Sometimes,Sometimes,Sometimes,Sometimes,Often,Holds an ordinary or supported job,8,Average,Partner/spouse/boy-/girlfriend,Yes,Once a month,Less frequently,Less frequently,171,90,3,16000,High
44,Average,Yes,Sometimes,Sometimes,Often,Often,Often,Holds an ordinary or supported job,7,Average,Friends/colleagues,No,Never,Several times a month,Less frequently,155,100,0,500,Medium
64,Well,No,Rarely,Often,Rarely,Always,Often,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Once a month,Less frequently,160,83,0,700,High
35,Very well,No,Rarely,Sometimes,Rarely,Often,Often,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Several times a month,Less frequently,174,78,1,2000,High
45,Very well,No,Sometimes,Sometimes,Often,Often,Often,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Refuse to answer,Less frequently,180,70,3,3000,High
64,Well,No,Sometimes,Sometimes,Sometimes,Sometimes,Often,,4,Good,Friends/colleagues,No,Once a week,Several times a week,Several times a month,163,54,2,500,High
58,Well,Yes,Never,Often,Rarely,Always,Always,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Once a week,Several times a week,Once a month,167,57,7,2000,High
38,Well,No,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Holds an ordinary or supported job,8,Very good,Partner/spouse/boy-/girlfriend,Yes,Daily,Less frequently,Less frequently,180,72,10,500,High
57,Very well,No,Never,Often,Sometimes,Often,Often,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Less frequently,Once a month,168,56,2,200,High
60,Well,No,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Holds an ordinary or supported job,7,Average,Friends/colleagues,Yes,Once a month,Several times a month,Several times a month,165,70,3,1000,High
59,Well,No,Rarely,Often,Rarely,Often,Sometimes,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Once a week,Several times a month,162,65,0,0,High
46,Average,No,Sometimes,Often,Never,Sometimes,Often,Holds an ordinary or supported job,4,Average,Partner/spouse/boy-/girlfriend,No,Less frequently,Less frequently,Less frequently,160,66,4,1000,Low
60,Well,No,Rarely,Often,Sometimes,Rarely,Often,Doesn't hold an ordinary or supported job,8,Average,Partner/spouse/boy-/girlfriend,Yes,Once a week,Once a week,Once a week,168,75,0,1000,High
52,Very well,No,Sometimes,Often,Sometimes,Sometimes,Always,Holds an ordinary or supported job,7,Good,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Less frequently,Less frequently,168,82,3,500,High
50,Well,No,Rarely,Often,Never,Never,Always,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Several times a week,Once a month,158,56,2,200,High
31,Well,No,Rarely,Rarely,Often,Sometimes,Often,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Once a month,Less frequently,165,68,3,500,High
50,Well,No,Never,Often,Never,Rarely,Often,Doesn't hold an ordinary or supported job,9,Average,Others,No,Several times a month,Several times a week,Never,178,61,0,500,High
64,Well,No,Rarely,Sometimes,Sometimes,Often,Often,Doesn't hold an ordinary or supported job,7,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Once a week,Less frequently,162,60,0,500,High
58,Average,No,Rarely,Sometimes,Sometimes,Often,Sometimes,Holds an ordinary or supported job,6,Average,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Less frequently,Once a month,162,55,3,1500,Medium
